week_start,week_end,is_partial_week,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2026-04-27,2026-05-03,False,DIESEL,R$ / litro,7.17,7.09,6.07,8.99,1754,1754
2026-04-27,2026-05-03,False,DIESEL S10,R$ / litro,7.304,7.29,5.69,9.35,2976,2976
2026-04-27,2026-05-03,False,ETANOL,R$ / litro,4.788,4.79,3.06,6.6,3620,3620
2026-04-27,2026-05-03,False,GASOLINA,R$ / litro,6.706,6.65,5.59,9.29,4250,4250
2026-04-27,2026-05-03,False,GASOLINA ADITIVADA,R$ / litro,6.907,6.89,5.89,9.29,3276,3276
2026-04-27,2026-05-03,False,GNV,R$ / m³,4.446,4.29,3.41,6.28,355,355
2026-05-04,2026-05-10,False,DIESEL,R$ / litro,7.11,6.99,5.95,8.99,1773,1773
2026-05-04,2026-05-10,False,DIESEL S10,R$ / litro,7.263,7.19,5.69,9.99,2993,2993
2026-05-04,2026-05-10,False,ETANOL,R$ / litro,4.704,4.69,2.98,6.94,3601,3601
2026-05-04,2026-05-10,False,GASOLINA,R$ / litro,6.697,6.65,5.49,9.59,4262,4262
2026-05-04,2026-05-10,False,GASOLINA ADITIVADA,R$ / litro,6.898,6.89,5.79,9.79,3321,3321
2026-05-04,2026-05-10,False,GNV,R$ / m³,4.617,4.56,3.69,6.28,320,320
2026-05-11,2026-05-17,False,DIESEL,R$ / litro,7.064,6.99,5.99,8.99,1803,1803
2026-05-11,2026-05-17,False,DIESEL S10,R$ / litro,7.226,7.18,6.15,9.99,3049,3049
2026-05-11,2026-05-17,False,ETANOL,R$ / litro,4.644,4.63,2.98,6.59,3673,3673
2026-05-11,2026-05-17,False,GASOLINA,R$ / litro,6.689,6.64,5.49,9.59,4345,4345
2026-05-11,2026-05-17,False,GASOLINA ADITIVADA,R$ / litro,6.888,6.865,5.59,9.79,3324,3324
2026-05-11,2026-05-17,False,GNV,R$ / m³,4.62,4.59,3.59,6.49,338,338
2026-05-18,2026-05-24,False,DIESEL,R$ / litro,7.004,6.9,5.99,8.99,1843,1843
2026-05-18,2026-05-24,False,DIESEL S10,R$ / litro,7.192,7.09,5.69,9.99,3064,3064
2026-05-18,2026-05-24,False,ETANOL,R$ / litro,4.58,4.59,2.98,6.59,3730,3730
2026-05-18,2026-05-24,False,GASOLINA,R$ / litro,6.668,6.59,5.49,9.69,4399,4399
2026-05-18,2026-05-24,False,GASOLINA ADITIVADA,R$ / litro,6.87,6.82,5.74,9.89,3399,3399
2026-05-18,2026-05-24,False,GNV,R$ / m³,4.638,4.56,3.59,6.49,338,338
2026-05-25,2026-05-31,False,DIESEL,R$ / litro,6.978,6.89,5.79,8.99,1867,1867
2026-05-25,2026-05-31,False,DIESEL S10,R$ / litro,7.175,7.09,5.69,9.79,3089,3089
2026-05-25,2026-05-31,False,ETANOL,R$ / litro,4.525,4.49,2.95,6.39,3704,3704
2026-05-25,2026-05-31,False,GASOLINA,R$ / litro,6.657,6.59,5.49,9.69,4397,4397
2026-05-25,2026-05-31,False,GASOLINA ADITIVADA,R$ / litro,6.858,6.79,5.74,9.89,3396,3396
2026-05-25,2026-05-31,False,GNV,R$ / m³,4.644,4.59,3.59,6.49,345,345
2026-06-01,2026-06-07,False,DIESEL,R$ / litro,6.93,6.89,5.79,8.99,1857,1857
2026-06-01,2026-06-07,False,DIESEL S10,R$ / litro,7.149,7.05,5.69,9.79,3124,3124
2026-06-01,2026-06-07,False,ETANOL,R$ / litro,4.494,4.49,2.94,6.6,3792,3792
2026-06-01,2026-06-07,False,GASOLINA,R$ / litro,6.648,6.59,5.49,9.69,4431,4431
2026-06-01,2026-06-07,False,GASOLINA ADITIVADA,R$ / litro,6.846,6.79,5.74,9.89,3405,3405
2026-06-01,2026-06-07,False,GNV,R$ / m³,4.637,4.59,3.69,6.49,368,368
2026-06-08,2026-06-14,False,DIESEL,R$ / litro,6.896,6.89,5.79,8.99,1786,1786
2026-06-08,2026-06-14,False,DIESEL S10,R$ / litro,7.136,6.99,5.69,9.79,3029,3029
2026-06-08,2026-06-14,False,ETANOL,R$ / litro,4.472,4.47,2.96,6.36,3673,3673
2026-06-08,2026-06-14,False,GASOLINA,R$ / litro,6.657,6.59,5.49,9.69,4335,4335
2026-06-08,2026-06-14,False,GASOLINA ADITIVADA,R$ / litro,6.856,6.84,5.74,9.89,3349,3349
2026-06-08,2026-06-14,False,GNV,R$ / m³,4.61,4.49,3.69,6.49,361,361
2026-06-15,2026-06-21,False,DIESEL,R$ / litro,6.883,6.89,5.74,8.99,1801,1801
2026-06-15,2026-06-21,False,DIESEL S10,R$ / litro,7.134,6.99,5.89,9.99,3042,3042
2026-06-15,2026-06-21,False,ETANOL,R$ / litro,4.45,4.39,2.89,6.6,3685,3685
2026-06-15,2026-06-21,False,GASOLINA,R$ / litro,6.669,6.64,5.49,9.69,4328,4328
2026-06-15,2026-06-21,False,GASOLINA ADITIVADA,R$ / litro,6.867,6.88,5.74,9.89,3329,3329
2026-06-15,2026-06-21,False,GNV,R$ / m³,4.722,4.69,3.79,6.49,337,337
2026-06-22,2026-06-28,False,DIESEL,R$ / litro,6.831,6.79,5.59,8.99,1797,1797
2026-06-22,2026-06-28,False,DIESEL S10,R$ / litro,7.094,6.99,5.69,9.79,3024,3024
2026-06-22,2026-06-28,False,ETANOL,R$ / litro,4.415,4.385,2.99,6.6,3632,3632
2026-06-22,2026-06-28,False,GASOLINA,R$ / litro,6.666,6.64,5.49,9.69,4281,4281
2026-06-22,2026-06-28,False,GASOLINA ADITIVADA,R$ / litro,6.861,6.85,5.92,9.89,3305,3305
2026-06-22,2026-06-28,False,GNV,R$ / m³,4.709,4.69,3.79,6.49,332,332
2026-06-29,2026-07-05,True,DIESEL,R$ / litro,6.807,6.79,5.59,8.99,1225,1225
2026-06-29,2026-07-05,True,DIESEL S10,R$ / litro,7.074,6.99,5.89,9.79,2071,2071
2026-06-29,2026-07-05,True,ETANOL,R$ / litro,4.385,4.38,2.99,6.59,2561,2561
2026-06-29,2026-07-05,True,GASOLINA,R$ / litro,6.638,6.59,5.49,9.79,3015,3015
2026-06-29,2026-07-05,True,GASOLINA ADITIVADA,R$ / litro,6.847,6.81,5.84,9.89,2333,2333
2026-06-29,2026-07-05,True,GNV,R$ / m³,4.669,4.59,3.89,6.28,267,267
