week_start,week_end,is_partial_week,state_code,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2026-01-05,2026-01-11,False,MG,ETANOL,R$ / litro,4.607,4.59,4.17,5.09,388,388
2026-01-05,2026-01-11,False,MG,GASOLINA,R$ / litro,6.196,6.19,5.29,6.79,415,415
2026-01-05,2026-01-11,False,MG,GASOLINA ADITIVADA,R$ / litro,6.411,6.39,5.79,7.18,266,266
2026-01-05,2026-01-11,False,MG,GNV,R$ / m³,4.919,4.82,4.69,5.45,8,8
2026-01-05,2026-01-11,False,MS,DIESEL,R$ / litro,6.045,5.99,5.69,7.17,17,17
2026-01-05,2026-01-11,False,MS,DIESEL S10,R$ / litro,6.046,6.04,5.74,6.19,18,18
2026-01-05,2026-01-11,False,MS,ETANOL,R$ / litro,4.073,3.99,3.85,4.97,23,23
2026-01-05,2026-01-11,False,MS,GASOLINA,R$ / litro,6.174,6.035,5.65,6.85,44,44
2026-01-05,2026-01-11,False,MS,GASOLINA ADITIVADA,R$ / litro,6.361,6.29,5.69,6.99,36,36
2026-01-05,2026-01-11,False,MS,GNV,R$ / m³,4.59,4.59,4.59,4.59,1,1
2026-01-05,2026-01-11,False,MT,DIESEL,R$ / litro,6.403,6.39,5.79,6.89,46,46
2026-01-05,2026-01-11,False,MT,DIESEL S10,R$ / litro,6.463,6.485,5.87,6.92,52,52
2026-01-05,2026-01-11,False,MT,ETANOL,R$ / litro,4.548,4.605,3.79,4.69,78,78
2026-01-05,2026-01-11,False,MT,GASOLINA,R$ / litro,6.456,6.49,5.85,6.89,78,78
2026-01-05,2026-01-11,False,MT,GASOLINA ADITIVADA,R$ / litro,6.616,6.59,6.25,6.99,42,42
2026-01-05,2026-01-11,False,MT,GNV,R$ / m³,4.05,4.05,4.05,4.05,2,2
2026-01-05,2026-01-11,False,PA,DIESEL,R$ / litro,6.476,6.48,5.65,7.2,36,36
2026-01-05,2026-01-11,False,PA,DIESEL S10,R$ / litro,6.287,6.29,5.46,7.22,77,77
2026-01-05,2026-01-11,False,PA,ETANOL,R$ / litro,4.874,4.79,4.37,5.55,43,43
2026-01-05,2026-01-11,False,PA,GASOLINA,R$ / litro,6.377,6.39,5.45,7.09,98,98
2026-01-05,2026-01-11,False,PA,GASOLINA ADITIVADA,R$ / litro,6.591,6.6,5.69,7.49,67,67
2026-01-05,2026-01-11,False,PB,DIESEL,R$ / litro,5.901,5.85,5.53,6.49,24,24
2026-01-05,2026-01-11,False,PB,DIESEL S10,R$ / litro,5.971,5.89,5.74,6.89,34,34
2026-01-05,2026-01-11,False,PB,ETANOL,R$ / litro,4.447,4.39,4.19,4.99,44,44
2026-01-05,2026-01-11,False,PB,GASOLINA,R$ / litro,6.018,5.99,5.87,6.19,57,57
2026-01-05,2026-01-11,False,PB,GASOLINA ADITIVADA,R$ / litro,6.178,6.19,5.89,6.39,36,36
2026-01-05,2026-01-11,False,PB,GNV,R$ / m³,4.926,4.86,4.85,5.21,5,5
2026-01-05,2026-01-11,False,PE,DIESEL,R$ / litro,5.927,5.99,5.59,6.09,9,9
2026-01-05,2026-01-11,False,PE,DIESEL S10,R$ / litro,5.871,5.825,5.59,6.99,134,134
2026-01-05,2026-01-11,False,PE,ETANOL,R$ / litro,4.64,4.49,3.99,6.49,143,143
2026-01-05,2026-01-11,False,PE,GASOLINA,R$ / litro,6.357,6.45,5.73,7.69,169,169
2026-01-05,2026-01-11,False,PE,GASOLINA ADITIVADA,R$ / litro,6.527,6.6,5.74,7.08,122,122
2026-01-05,2026-01-11,False,PE,GNV,R$ / m³,4.39,4.39,4.39,4.39,26,26
2026-01-05,2026-01-11,False,PI,DIESEL,R$ / litro,6.068,6.04,5.78,6.54,23,23
2026-01-05,2026-01-11,False,PI,DIESEL S10,R$ / litro,6.12,6.09,5.83,6.79,34,34
2026-01-05,2026-01-11,False,PI,ETANOL,R$ / litro,4.615,4.59,4.35,5.1,41,41
2026-01-05,2026-01-11,False,PI,GASOLINA,R$ / litro,5.92,5.89,5.69,6.39,59,59
2026-01-05,2026-01-11,False,PI,GASOLINA ADITIVADA,R$ / litro,6.145,6.19,5.79,6.49,46,46
2026-01-05,2026-01-11,False,PR,DIESEL,R$ / litro,5.977,5.94,5.39,6.87,128,128
2026-01-05,2026-01-11,False,PR,DIESEL S10,R$ / litro,6.089,5.99,5.69,6.99,181,181
2026-01-05,2026-01-11,False,PR,ETANOL,R$ / litro,4.594,4.59,3.89,5.09,255,255
2026-01-05,2026-01-11,False,PR,GASOLINA,R$ / litro,6.471,6.49,5.69,7.09,256,256
2026-01-05,2026-01-11,False,PR,GASOLINA ADITIVADA,R$ / litro,6.613,6.67,5.69,7.29,208,208
2026-01-05,2026-01-11,False,PR,GNV,R$ / m³,4.635,4.635,4.54,4.73,2,2
2026-01-05,2026-01-11,False,RJ,DIESEL,R$ / litro,6.155,6.09,5.54,7.72,95,95
2026-01-05,2026-01-11,False,RJ,DIESEL S10,R$ / litro,6.233,6.19,5.59,7.97,176,176
2026-01-05,2026-01-11,False,RJ,ETANOL,R$ / litro,4.836,4.79,4.19,6.39,245,245
2026-01-05,2026-01-11,False,RJ,GASOLINA,R$ / litro,6.212,6.19,5.49,7.79,280,280
2026-01-05,2026-01-11,False,RJ,GASOLINA ADITIVADA,R$ / litro,6.414,6.39,5.69,7.79,253,253
2026-01-05,2026-01-11,False,RJ,GNV,R$ / m³,4.601,4.48,3.95,6.49,129,129
2026-01-05,2026-01-11,False,RN,DIESEL,R$ / litro,6.313,6.29,5.72,6.89,15,15
2026-01-05,2026-01-11,False,RN,DIESEL S10,R$ / litro,6.377,6.29,5.72,6.99,29,29
2026-01-05,2026-01-11,False,RN,ETANOL,R$ / litro,5.172,5.34,4.35,5.6,32,32
2026-01-05,2026-01-11,False,RN,GASOLINA,R$ / litro,6.404,6.59,5.59,6.79,36,36
2026-01-05,2026-01-11,False,RN,GASOLINA ADITIVADA,R$ / litro,6.522,6.59,5.59,6.99,28,28
2026-01-05,2026-01-11,False,RN,GNV,R$ / m³,5.074,5.09,4.95,5.19,5,5
2026-01-05,2026-01-11,False,RO,DIESEL,R$ / litro,6.47,6.415,5.98,7.84,44,44
2026-01-05,2026-01-11,False,RO,DIESEL S10,R$ / litro,6.508,6.48,5.99,7.89,51,51
2026-01-05,2026-01-11,False,RO,ETANOL,R$ / litro,5.456,5.49,4.99,5.89,29,29
2026-01-05,2026-01-11,False,RO,GASOLINA,R$ / litro,6.95,6.97,6.59,7.89,55,55
2026-01-05,2026-01-11,False,RO,GASOLINA ADITIVADA,R$ / litro,7.071,7.075,6.83,8.04,50,50
2026-01-05,2026-01-11,False,RR,DIESEL,R$ / litro,6.619,6.6,6.55,6.7,12,12
2026-01-05,2026-01-11,False,RR,DIESEL S10,R$ / litro,6.628,6.6,6.6,6.7,12,12
2026-01-05,2026-01-11,False,RR,ETANOL,R$ / litro,5.3,5.29,5.29,5.34,5,5
2026-01-05,2026-01-11,False,RR,GASOLINA,R$ / litro,6.7,6.7,6.7,6.7,13,13
2026-01-05,2026-01-11,False,RR,GASOLINA ADITIVADA,R$ / litro,6.8,6.8,6.75,6.88,13,13
2026-01-05,2026-01-11,False,RS,DIESEL,R$ / litro,6.167,6.19,5.49,7.29,191,191
2026-01-05,2026-01-11,False,RS,DIESEL S10,R$ / litro,6.237,6.23,5.54,7.39,232,232
2026-01-05,2026-01-11,False,RS,ETANOL,R$ / litro,4.987,4.99,4.39,6.39,154,154
2026-01-05,2026-01-11,False,RS,GASOLINA,R$ / litro,6.368,6.39,5.74,7.39,334,334
2026-01-05,2026-01-11,False,RS,GASOLINA ADITIVADA,R$ / litro,6.559,6.545,5.75,7.69,322,322
2026-01-05,2026-01-11,False,RS,GNV,R$ / m³,4.898,4.96,4.69,4.99,21,21
2026-01-05,2026-01-11,False,SC,DIESEL,R$ / litro,6.101,6.075,5.59,6.73,62,62
2026-01-05,2026-01-11,False,SC,DIESEL S10,R$ / litro,6.177,6.185,5.59,6.83,98,98
2026-01-05,2026-01-11,False,SC,ETANOL,R$ / litro,4.882,4.89,4.49,5.49,81,81
2026-01-05,2026-01-11,False,SC,GASOLINA,R$ / litro,6.402,6.39,5.99,6.84,124,124
2026-01-05,2026-01-11,False,SC,GASOLINA ADITIVADA,R$ / litro,6.533,6.55,5.99,7.04,121,121
2026-01-05,2026-01-11,False,SC,GNV,R$ / m³,4.736,4.59,4.53,5.29,20,20
2026-01-05,2026-01-11,False,SE,DIESEL,R$ / litro,5.741,5.69,5.58,6.25,15,15
2026-01-05,2026-01-11,False,SE,DIESEL S10,R$ / litro,5.889,5.785,5.76,6.29,22,22
2026-01-05,2026-01-11,False,SE,ETANOL,R$ / litro,4.799,4.8,4.7,4.99,14,14
2026-01-05,2026-01-11,False,SE,GASOLINA,R$ / litro,6.457,6.41,6.32,6.59,29,29
2026-01-05,2026-01-11,False,SE,GASOLINA ADITIVADA,R$ / litro,6.524,6.52,6.32,6.79,25,25
2026-01-05,2026-01-11,False,SE,GNV,R$ / m³,4.69,4.69,4.69,4.69,4,4
2026-01-05,2026-01-11,False,SP,DIESEL,R$ / litro,6.034,5.99,5.45,7.24,357,357
2026-01-05,2026-01-11,False,SP,DIESEL S10,R$ / litro,6.146,6.09,5.49,8.99,726,726
2026-01-05,2026-01-11,False,SP,ETANOL,R$ / litro,4.339,4.29,3.69,6.14,1106,1106
2026-01-05,2026-01-11,False,SP,GASOLINA,R$ / litro,6.15,6.09,5.09,9.29,1117,1117
2026-01-05,2026-01-11,False,SP,GASOLINA ADITIVADA,R$ / litro,6.424,6.39,5.49,9.69,885,885
2026-01-05,2026-01-11,False,SP,GNV,R$ / m³,4.028,3.99,3.39,4.99,46,46
2026-01-05,2026-01-11,False,TO,DIESEL,R$ / litro,6.06,5.99,5.77,6.79,25,25
2026-01-05,2026-01-11,False,TO,DIESEL S10,R$ / litro,6.053,5.99,5.69,6.69,31,31
2026-01-05,2026-01-11,False,TO,ETANOL,R$ / litro,5.097,5.09,4.59,5.9,34,34
2026-01-05,2026-01-11,False,TO,GASOLINA,R$ / litro,6.558,6.59,5.97,6.99,39,39
2026-01-05,2026-01-11,False,TO,GASOLINA ADITIVADA,R$ / litro,6.746,6.69,6.09,8.89,27,27
2026-01-12,2026-01-18,False,AC,DIESEL,R$ / litro,7.568,7.4,6.95,8.15,13,13
2026-01-12,2026-01-18,False,AC,DIESEL S10,R$ / litro,7.639,7.47,6.99,8.17,12,12
2026-01-12,2026-01-18,False,AC,ETANOL,R$ / litro,5.359,5.25,5.1,6.08,11,11
2026-01-12,2026-01-18,False,AC,GASOLINA,R$ / litro,7.461,7.38,6.89,7.99,14,14
2026-01-12,2026-01-18,False,AC,GASOLINA ADITIVADA,R$ / litro,7.484,7.39,6.89,8.17,13,13
2026-01-12,2026-01-18,False,AL,DIESEL,R$ / litro,6.648,6.69,6.29,6.98,5,5
2026-01-12,2026-01-18,False,AL,DIESEL S10,R$ / litro,6.258,6.19,5.69,6.98,27,27
2026-01-12,2026-01-18,False,AL,ETANOL,R$ / litro,4.899,4.99,4.25,5.49,48,48
2026-01-12,2026-01-18,False,AL,GASOLINA,R$ / litro,6.266,6.37,5.54,6.99,59,59
2026-01-12,2026-01-18,False,AL,GASOLINA ADITIVADA,R$ / litro,6.412,6.415,5.87,7.28,42,42
2026-01-12,2026-01-18,False,AL,GNV,R$ / m³,4.496,4.59,3.99,5.19,8,8
2026-01-12,2026-01-18,False,AM,DIESEL,R$ / litro,6.53,6.49,6.38,6.65,20,20
2026-01-12,2026-01-18,False,AM,DIESEL S10,R$ / litro,6.886,6.49,6.47,8.39,42,42
2026-01-12,2026-01-18,False,AM,ETANOL,R$ / litro,5.476,5.49,5.39,5.59,38,38
